Aegis Guard	帝盾卫兵
Citadel of Adun	亚顿堡垒
Cybernetics Core	控制芯核
Dark Pylon	黑暗水晶塔
Dark Shrine	黑暗圣坛
Fleet Beacon	舰队航标
Forge	锻炉
Gateway	传送门
Khaydarin Monolith	凯达琳巨石
Nexus	星灵枢纽
Null Circuit	虚化回路
Obelisk	方尖碑
Observatory	观测台
Photon Cannon	光子炮台
Pylon	水晶塔
Robotics Bay	机械研究所
Robotics Facility	机械台
Robotics Support Bay	机械支持研究所
Solar Forge	太阳锻炉
Stargate	星门
Shield Battery	护盾充能器
Templar Archives	圣堂武士文献馆
Twilight Council	光影议会
Warp Gate	折跃门
Baneling Nest	爆虫巢穴
Bile Launcher	胆汁喷射体
Creep Colony	菌毯集群
Creep Tumor	菌毯肿瘤
Defiler Mound	蝎虫窝
Evolution Chamber	进化腔
Extractor	萃取房
Greater Spire	巨型尖塔
Hatchery	孵化场
Hive	主巢
Hydralisk Den	刺蛇巢
Impaler Den	穿刺者巢穴
Infestation Pit	感染深渊
Infested Bunker	被感染的地堡
Infested Command Center	被感染的指挥中心
Infested Missile Turret	被感染的导弹塔
Lair	虫穴
Lurker Den	潜伏者巢穴
Nydus Canal	坑道虫通道
Nydus Network	虫道网络
Omega Network	虫道网络欧米茄
Primal Wurm	原始蠕虫
Queen's Nest	后虫之巢
Roach Warren	蟑螂温室
Spawning Pool	分裂池
Spine Crawler	脊针爬虫
Spire	尖塔
Spore Cannon	孢子炮台
Spore Colony	孢子集群
Spore Crawler	孢子爬虫
Sunken Colony	潜隐集群
Ultralisk Cavern	雷兽窟
Virophage	噬毒体
